title,visits,year,month
1&1 Internet AG *,---,2009,11
1. FC Nürnberg,644.765,2009,11
102.2 Radio Essen,97.695,2009,11
104.6rtl.com,167.396,2009,11
106!8 rock´n pop,105.217,2009,11
106.2 Radio Oberhausen,15.494,2009,11
107.7 Radio Hagen,43.063,2009,11
11freunde.de *,---,2009,11
123people.de,10.450.802,2009,11
3min *,---,2009,11
4men,812,2009,11
4Players.de *,---,2009,11
4Trips,1.058.915,2009,11
4WheelFun,72.469,2009,11
90.8 Radio Herne,17.943,2009,11
"90elf, Dein Fußball-Radio",401.592,2009,11
92.9 Radio Mülheim,14.225,2009,11
95.5 Charivari - Münchens Hit-Radio,128.877,2009,11
98.5 Radio Bochum,39.804,2009,11
98.7 Radio Emscher Lippe,52.867,2009,11
[030] - Das Stadtmagazin für Berlin,65.404,2009,11
Aachener Nachrichten,404.813,2009,11
Aachener Zeitung,657.829,2009,11
ab-in-den-urlaub.de,3.253.044,2009,11
Abacho,2.136.316,2009,11
Abendzeitung,1.420.961,2009,11
abenteuer und reisen,58.024,2009,11
Absatzwirtschaft-Online,67.075,2009,11
ad-hoc-news,977.538,2009,11
administrator.de,1.788.955,2009,11
Ärzte Zeitung Online,1.055.210,2009,11
Ärztenachrichtendienst,320.562,2009,11
AGOF - Summe der nur geprüften Angebote,659.142.003,2009,11
agrarheute.com,340.845,2009,11
agrarzeitung | online,170.045,2009,11
ahgz.de - Allgemeine Hotel- und...,322.440,2009,11
Ahlener-Zeitung,105.982,2009,11
AIRLINE DIRECT - discover online travel,696.188,2009,11
airliners.de Luftverkehrs-Branchenportal,476.340,2009,11
AIS-Online,427.787,2009,11
aktiencheck.de *,---,2009,11
Alice,7.478.694,2009,11
all4finance.de,51.851,2009,11
alle-autos-in.de,299.297,2009,11
Allgäuer Zeitung Onlineangebot,709.375,2009,11
Allgemeine Zeitung,72.554,2009,11
Allgemeine Zeitung Uelzen Online,156.503,2009,11
Allgemeiner-Anzeiger.de,12.951,2009,11
Alpin,56.379,2009,11
animeMANGA,297.269,2009,11
anotherdate.de,18.032,2009,11
Antenne Bayern,1.785.551,2009,11
ANTENNE DÜSSELDORF,104.185,2009,11
ANTENNE MÜNSTER,27.051,2009,11
ANTENNE NIEDERRHEIN,25.395,2009,11
ANTENNE THÜRINGEN,301.982,2009,11
Antenne Unna,34.422,2009,11
anwalt24.de,185.335,2009,11
AOL,74.772.659,2009,11
apotheke.com,63.197,2009,11
apotheken-umschau.de,2.382.427,2009,11
Arcor.de,41.983.701,2009,11
AreaGames,611.591,2009,11
Areamobile.de,1.517.418,2009,11
ARIVA.DE,4.247.657,2009,11
Arminia Bielefeld,279.587,2009,11
art - das Kunstmagazin,190.822,2009,11
artnet,409.157,2009,11
Ashampoo,5.600.799,2009,11
ATZonline-Netzwerk für Ingenieure,213.489,2009,11
AUDIO,181.176,2009,11
Augsburger Allgemeine Online,2.334.782,2009,11
auto motor und sport,2.661.943,2009,11
Auto News,247.383,2009,11
AUTO SERVICE PRAXIS Online,98.352,2009,11
Auto.de,2.496.532,2009,11
autobild.de,4.942.537,2009,11
AUTOFLOTTE Online,58.065,2009,11
AUTOGAZETTE.DE,120.938,2009,11
AUTOHAUS Online,732.922,2009,11
AUTOHIFI-MAGAZIN,23.086,2009,11
Automobil Industrie,190.634,2009,11
autoplenum.de,1.692.719,2009,11
Autozeitung.de,568.033,2009,11
Auvito.de,2.958.702,2009,11
awa-dav.de Aktueller Wirtschaftsdienst für...,1.732,2009,11
B2B DEUTSCHLAND,57.280,2009,11
babyclub.de,420.308,2009,11
Backnanger Kreiszeitung Online,39.251,2009,11
Baden Online,186.569,2009,11
Badische Zeitung Online,1.815.910,2009,11
badpoolsauna.de,2.617,2009,11
Bauforum24,144.932,2009,11
BAULINKS.de,916.492,2009,11
BauNetz,934.549,2009,11
Bayerischer Fußball-Verband,2.551.867,2009,11
bayern.by,90.708,2009,11
Bayreuth.de,74.008,2009,11
BB RADIO Internet,54.596,2009,11
bb-live,45.725,2009,11
bbv-net.de,300.726,2009,11
Bellevue,45.754,2009,11
beLocal,338.540,2009,11
beQueen,246.494,2009,11
Bergsteiger,27.652,2009,11
Berlin-Ticket.de,19.979,2009,11
Berlin.de,6.522.655,2009,11
Berliner Morgenpost,3.022.329,2009,11
Berliner Rundfunk.de,68.376,2009,11
BerlinOnline,2.937.678,2009,11
Beschaffungsdienst GaLaBau,6.162,2009,11
beyars.com,143.807,2009,11
BIETIGHEIMER ZEITUNG,69.387,2009,11
bigFM,752.966,2009,11
Bild der Frau,498.201,2009,11
Bild.de,117.210.129,2009,11
billiger.de - Deutschlands großer Preisvergleich,6.650.706,2009,11
BiLLiGFLUG.de,212.459,2009,11
Blechnet,22.114,2009,11
Blog.de,4.049.661,2009,11
blonde.de *,---,2009,11
bluray-disc.de,1.194.778,2009,11
Börse Frankfurt,1.626.390,2009,11
boerse-online.de,1.603.471,2009,11
boerse.de,1.956.072,2009,11
boersenblatt.net,214.678,2009,11
BonGusto,330.844,2009,11
boote-magazin.de,23.581,2009,11
Borkener Zeitung,177.066,2009,11
Borussia Dortmund,3.394.871,2009,11
brainGuide - Das Expertenportal der Wirtschaft,226.700,2009,11
BRAVO.de,1.892.346,2009,11
Bremer,6.870,2009,11
Brigitte.de,4.282.562,2009,11
Bucher Reisen,56.516,2009,11
buchhandel.de,919.074,2009,11
Buffed,10.975.793,2009,11
bundesliga.de - Die offizielle Webseite,8.152.417,2009,11
Bunte.de,4.771.727,2009,11
burdafashion.com,1.296.710,2009,11
Busfahrer Magazin,5.365,2009,11
business-wissen.de,215.162,2009,11
Buycentral,299.003,2009,11
BZ-Berlin,1.587.749,2009,11
capital.de,477.000,2009,11
carmondo,161.295,2009,11
Cartoon Network,320.011,2009,11
CDstarts.de,165.902,2009,11
Celebrity,15.161,2009,11
ChannelPartner,755.939,2009,11
Chatcity,356.626,2009,11
Chatfun,50.314,2009,11
Chatworld,140.954,2009,11
Chefkoch.de,16.840.653,2009,11
Chiemgau Online,85.435,2009,11
Chili Echo *,---,2009,11
CHIP Fotowelt,383.640,2009,11
CHIP Online,60.674.564,2009,11
ciao.com,18.205.632,2009,11
Cicero online,163.816,2009,11
Cinefacts,1.672.500,2009,11
CINEMA Online,1.375.445,2009,11
CinemaxX.de,2.553.373,2009,11
CINEPLEX,2.155.202,2009,11
cinestar,2.994.832,2009,11
CIO,502.141,2009,11
citysports.de,290.155,2009,11
Classic Driver,318.237,2009,11
clever-tanken,853.415,2009,11
Clipfish.de,6.930.193,2009,11
COLORFOTO,196.607,2009,11
comedycentral.de,84.750,2009,11
competitionline -  Wettbewerbe  und Architektur,520.668,2009,11
Computer Reseller News,437.412,2009,11
computer-automation.de,53.256,2009,11
ComputerBase,9.700.859,2009,11
COMPUTERBILD.de,24.223.829,2009,11
Computerwoche Online,1.223.658,2009,11
Connect,792.059,2009,11
Controlling-Portal.de,202.108,2009,11
Coolespiele.com,4.409.436,2009,11
coolibri,79.600,2009,11
Cortal Consors S.A.,4.448.474,2009,11
Cosmopolitan,403.232,2009,11
cosmoty.de,983.102,2009,11
Curado,218.621,2009,11
Cuxhavener Nachrichten,115.096,2009,11
Cynamite ? Games Aktuell,1.043.558,2009,11
DAILY DOSE,178.551,2009,11
DAS HAUS online,258.213,2009,11
DAS INVESTMENT,89.604,2009,11
Das Örtliche,17.343.260,2009,11
Das Sportportal,16.753,2009,11
Das Telefonbuch,19.166.404,2009,11
Das Vierte,86.228,2009,11
daskochrezept.de,3.008.225,2009,11
DatingCafe,1.732.031,2009,11
DAZ.online Deutsche Apotheker Zeitung,78.017,2009,11
debitel *,---,2009,11
decido,443.734,2009,11
Deine Tierwelt / dhd24.com,7.761.551,2009,11
Deister Leine Zeitung.de,20.832,2009,11
Delmenhorster Kreisblatt (dk-online.de),94.299,2009,11
delta radio,238.296,2009,11
DER AKTIONÄR,883.827,2009,11
Der Allgemeinarzt Online,3.115,2009,11
Der Betrieb Online,53.351,2009,11
der Freitag,274.520,2009,11
Der Patriot online,97.181,2009,11
DerWesten,7.069.544,2009,11
Detail - Zeitschrift für Architektur + Baudetail,415.637,2009,11
Deutsche Reiterliche Vereinigung e.V.,177.590,2009,11
Deutscher Alpenverein e.V.,160.494,2009,11
Deutsches Ärzteblatt - online,939.400,2009,11
DEWEZET.de,168.608,2009,11
Diabetes News Portal,82.541,2009,11
diabetes-world.net,11.308,2009,11
Die Glocke,224.203,2009,11
Digital.World,375.376,2009,11
digitalkamera.de,1.122.440,2009,11
discountflieger.de,22.611,2009,11
dmax,881.497,2009,11
DocCheck,1.675.553,2009,11
donaukurier.de,529.950,2009,11
Dortmund Airport,163.826,2009,11
Dresdner Kulturmagazin,12.724,2009,11
druck-medien.net,77.838,2009,11
Druckerchannel.de,332.484,2009,11
DSF.de,584.989,2009,11
DStGB,22.126,2009,11
DU&ICH,9.817,2009,11
Dülmener Zeitung,65.245,2009,11
DVD.de,195.000,2009,11
DVZ.de - Deutsche Logistik-Zeitung,106.805,2009,11
e-commerce-magazin.de,8.633,2009,11
earthtv.com,480.437,2009,11
Echo Online,524.914,2009,11
edelight,2.387.999,2009,11
Edgar,110.381,2009,11
eGovernment Computing.de,13.480,2009,11
Einzelhandel.de,31.519,2009,11
"electrobeans - Der Gadget, Computer und Technik...",86.738,2009,11
Elektroniknet,390.489,2009,11
Elektronikpraxis.de,305.895,2009,11
Elektrotechnik.de,59.331,2009,11
ELLE,310.386,2009,11
Eltern.de,2.453.137,2009,11
ENERGY Sachsen,87.507,2009,11
enimal.de,166.249,2009,11
eraffe.de,1.292.414,2009,11
erdbeerlounge.de,1.423.503,2009,11
erento,854.724,2009,11
ESL.EU (Electronic Sports League),8.957.703,2009,11
essen-und-trinken.de,1.192.435,2009,11
Evita Shopping,165.193,2009,11
Expedia,4.995.931,2009,11
Express Online,6.217.593,2009,11
Eßlinger Zeitung online,179.629,2009,11
Fahrschule Online,15.142,2009,11
Falk,4.407.441,2009,11
familie.de,713.615,2009,11
Familotel,68.071,2009,11
Fan-lexikon.de,557.217,2009,11
Fantastic Zero,20.111.831,2009,11
FASHION.DE,591.275,2009,11
FAZ.NET,19.821.505,2009,11
Feierabend.de,603.305,2009,11
fem,7.777.092,2009,11
ferien.de,138.175,2009,11
FeWo-direkt.de,1.424.256,2009,11
Fidor AG Gemeinsam mehr Geld,9.254,2009,11
Film.de,486.855,2009,11
Filmreporter.de,273.198,2009,11
Filmstarts.de,3.146.428,2009,11
Financial Times Deutschland,8.494.310,2009,11
FINANZ BETRIEB,6.974,2009,11
finanzen.net - Das Finanzportal,8.255.590,2009,11
FinanzNachrichten.de,3.442.823,2009,11
finanztreff.de,4.839.859,2009,11
FIRMENWISSEN,1.506.085,2009,11
fischkopf.de - Die Singlebörse für den Norden,1.453.248,2009,11
FIT FOR FUN Online,556.645,2009,11
Fit-Schön-Gesund,6.526.097,2009,11
Fleischwirtschaft.de,15.915,2009,11
Flickr.de,8.152.252,2009,11
fliegen-sparen.de,41.758,2009,11
fliegen.com,78.216,2009,11
Fluege.de,2.363.455,2009,11
Flüssiggas-Magazin,1.310,2009,11
flug.de,674.388,2009,11
Flughafen Düsseldorf,505.511,2009,11
Flugrevue & aerokurier,125.296,2009,11
FNweb,86.642,2009,11
FOCUS ONLINE,25.794.395,2009,11
foerderland - Wissen für Gründer und Unternehmer,457.974,2009,11
forium.de,610.009,2009,11
Formel 1,693.638,2009,11
Forum-fuer-Senioren.de,264.799,2009,11
fotocommunity,6.746.633,2009,11
Frankenpost online,348.734,2009,11
Frankfurter Rundschau online,3.058.289,2009,11
Frauenzimmer,1.335.135,2009,11
freedombmx.de *,---,2009,11
freenet.de *,---,2009,11
Freie Presse Online,667.718,2009,11
Freies Wort-Online,260.300,2009,11
Freizeitfreunde,390.511,2009,11
freundin online,741.258,2009,11
Für Sie,116.259,2009,11
Fuldaer Zeitung,326.022,2009,11
funkschau.de,60.528,2009,11
funsporting.de *,---,2009,11
Fussballdaten,800.022,2009,11
fvw.de,217.751,2009,11
Gäubote - Die Herrenberger Zeitung,38.846,2009,11
Gala.de,2.744.598,2009,11
Game One,1.176.647,2009,11
GamePRO,1.154.394,2009,11
Gamesdynamite,219.695,2009,11
GameStar,5.999.104,2009,11
Gameswelt,2.249.214,2009,11
gamezone.de,1.102.978,2009,11
Gamona,2.940.104,2009,11
ganz-muenchen.de,292.563,2009,11
Gastronomie Report Online,24.959,2009,11
GBI-Genios Deutsche Wirtschaftsdatenbank,708.043,2009,11
GEA online,123.426,2009,11
Gefahrgut Online,15.331,2009,11
GelbeSeiten,8.936.820,2009,11
Geld.de,822.324,2009,11
geldsparen.de,228.839,2009,11
General-Anzeiger Online,1.457.332,2009,11
General-Anzeiger-Rhauderfehn,62.928,2009,11
GEO.de,1.343.558,2009,11
gesundheit-heute.de Gesundheitsportal,250.881,2009,11
gesundheit.de,834.520,2009,11
Gewinnspiele.com,415.750,2009,11
Gießener Allgemeine,145.838,2009,11
Gießener Anzeiger / Zeitungsgruppe Zentralhessen,289.520,2009,11
GIG Online,3.420,2009,11
GIGA - Digital Entertainment and Gaming TV,1.193.837,2009,11
Girlsgogames,1.088.966,2009,11
GLAM,19.690.177,2009,11
GLAMOUR.de,1.045.697,2009,11
Gmünder Tagespost,77.001,2009,11
GMX *,---,2009,11
godelta.de meier - das Stadtmagazin,45.314,2009,11
Göttinger Tageblatt,207.298,2009,11
goFeminin,10.428.543,2009,11
Golem.de,7.285.379,2009,11
Golf.de - das Internetportal für den Golfsport,668.960,2009,11
golfpunk.de *,---,2009,11
goslarsche.de,182.252,2009,11
GoYellow,3.095.659,2009,11
GPSies.com,184.031,2009,11
GQ.com,491.635,2009,11
guenstiger.de,7.989.856,2009,11
gutefrage.net,26.175.085,2009,11
Guter Rat.de,156.087,2009,11
GW trends Online,20.631,2009,11
Häfft-Community,112.037,2009,11
Haller Tagblatt online,52.351,2009,11
hamburg.de,2.718.506,2009,11
Hamburger Abendblatt Online,6.487.875,2009,11
Hamburger Morgenpost Online,1.861.996,2009,11
Hamburger Sport-Verein,1.693.714,2009,11
handball-world.com *,---,2009,11
Handelsblatt.com,9.855.695,2009,11
handy.de,144.637,2009,11
Hannover 96,757.724,2009,11
Hannoversche Allgemeine Zeitung,1.021.295,2009,11
HAO - der Onlinedienst des Hellweger Anzeigers...,63.357,2009,11
Harburger Anzeigen und Nachrichten,33.757,2009,11
harmony.fm,54.034,2009,11
Harvard Business Manager,278.487,2009,11
Hausarbeiten.de,2.312.329,2009,11
HaustechnikDialog,616.178,2009,11
HAZOnline,5.056,2009,11
Heidenheimer Zeitung online,104.740,2009,11
Heilbronner Stimme online,837.873,2009,11
Heinze,519.462,2009,11
heise online,27.702.827,2009,11
Hersfelder Zeitung Online,61.544,2009,11
Hertha BSC,633.757,2009,11
hiphop.de,1.158.419,2009,11
Hit Radio Antenne,417.028,2009,11
HIT RADIO FFH,1.205.462,2009,11
Hit Radio Vest,32.292,2009,11
Hit-Radio Antenne1,251.426,2009,11
Hitflip.de,485.892,2009,11
Hitradio Ohr,92.543,2009,11
hitradio.rt1 network,98.319,2009,11
HNA online,1.381.934,2009,11
HOBNOX,344.565,2009,11
hochzeit.de,15.918,2009,11
holidaycheck,7.096.201,2009,11
Hood.de Online-Auktionen,4.284.030,2009,11
HORIZONT.NET,919.477,2009,11
Hotelreservierung.de,1.116.689,2009,11
howrse.de,1.755.994,2009,11
I LOVE RADIO - ILOVERADIO.de,129.267,2009,11
idea.de,123.615,2009,11
Idowa Online,893.524,2009,11
IKZ - Fachportal für die SHK-Branche,40.648,2009,11
imedo.de *,---,2009,11
impulse.de,300.782,2009,11
In München,61.249,2009,11
in-starmagazin.de,37.731,2009,11
Industrystock,1.534.474,2009,11
InformationWeek,182.095,2009,11
"inFranken - Portal von Fränkischer Tag,...",575.914,2009,11
INNdependent Media,34.090,2009,11
innovations-report,851.299,2009,11
inside-digital.de,301.785,2009,11
inside-handy.de,1.234.415,2009,11
inside-hotel.de,39.703,2009,11
Internetcologne,1.598.153,2009,11
internetworld.de,409.199,2009,11
Intro.de *,---,2009,11
IT-Business.de,181.291,2009,11
IT-Times.de,90.455,2009,11
IVZ-Online,182.034,2009,11
JAM FM,228.704,2009,11
janolaw.de,278.713,2009,11
jazzradio,50.090,2009,11
Jetztspielen.de,14.423.877,2009,11
Jobanova,456.590,2009,11
Jobmorgen,78.406,2009,11
Jolie.de,1.213.827,2009,11
Joy,285.135,2009,11
JurPC,39.991,2009,11
JUSLINE-DE,299.335,2009,11
just2guide,1.128.823,2009,11
JUX.de,1.225.470,2009,11
k-zeitung.de,13.030,2009,11
ka-news.de,746.427,2009,11
kabeleins online,1.746.365,2009,11
kalaydo.de - das regionale Findernet,3.692.879,2009,11
karriere,356.971,2009,11
Kfz-Auskunft,524.475,2009,11
kfz-betrieb,446.013,2009,11
kicker online,31.066.454,2009,11
Kidszone,875.862,2009,11
kinder.de - Familienportal,212.950,2009,11
KinderCampus,67.271,2009,11
King.com,5.243.618,2009,11
KINO.DE,3.986.847,2009,11
KISS FM,213.614,2009,11
klarmobil *,---,2009,11
Klassik Radio,470.757,2009,11
Klenkes Online,35.233,2009,11
KN-Online,530.629,2009,11
Knuddels.de,20.190.476,2009,11
Kochbar,1.530.517,2009,11
Kochmeister.com,1.843.640,2009,11
Kochrezepte,1.013.509,2009,11
Koeln.de,1.776.838,2009,11
Kölner,52.772,2009,11
Kölner Stadt-Anzeiger Online,3.682.146,2009,11
Kölnische Rundschau,574.232,2009,11
Konstruktionspraxis.de,85.541,2009,11
Kontakter,62.634,2009,11
Kredit.de,24.628,2009,11
Kreiszeitung Online,323.521,2009,11
kress.de,763.043,2009,11
ku-gesundheitsmanagement.de,21.692,2009,11
kuechengoetter.de,478.094,2009,11
Küchenplaner-Magazin,7.348,2009,11
Kunststoffe.de,31.296,2009,11
KunststoffWeb,99.309,2009,11
kununu.com,321.266,2009,11
KWICK! Community,32.025.493,2009,11
L-MAG,24.946,2009,11
Laborpraxis,62.853,2009,11
Ladies.de,4.055.959,2009,11
Landes-Zeitung.de,25.124,2009,11
LandesWelle Thüringen,83.259,2009,11
landlive.de,367.960,2009,11
Last FM,8.460.136,2009,11
laut.de - der musikkanal,2.289.443,2009,11
Leben & erziehen,217.079,2009,11
LECKER.de,410.423,2009,11
Liborius,21.907,2009,11
LifeGen.de,44.058,2009,11
Lifeline-Gesundheitsberater,1.027.416,2009,11
LifePR.de,525.683,2009,11
Lift Online,22.855,2009,11
Linux-Magazin,318.160,2009,11
Lissy-Online,38.021,2009,11
Living at home,704.082,2009,11
LizzyNet,115.763,2009,11
LN-online,633.647,2009,11
Localido,26.318,2009,11
LOGISTIK HEUTE,27.579,2009,11
Lokalisten,41.820.667,2009,11
Looki *,---,2009,11
Lottaleben.net,52.457,2009,11
LR-Online,697.881,2009,11
LTUR Last Minute Online,1.313.183,2009,11
Ludwigsburger Kreiszeitung,97.442,2009,11
Lust auf Genuß,145.747,2009,11
LVZ-Online,829.349,2009,11
